0B0X,0B0Y,0B0Z,0B1X,0B1Y,0B1Z,0B2X,0B2Y,0B2Z,0B3X,0B3Y,0B3Z,0B4X,0B4Y,0B4Z,0B5X,0B5Y,0B5Z,0B6X,0B6Y,0B6Z,0B7X,0B7Y,0B7Z,0B8X,0B8Y,0B8Z,0B9X,0B9Y,0B9Z,0B10X,0B10Y,0B10Z,0B11X,0B11Y,0B11Z,0B12X,0B12Y,0B12Z,0B13X,0B13Y,0B13Z,0B14X,0B14Y,0B14Z,0B15X,0B15Y,0B15Z
33014,32917,13314,32808,32798,13487,32946,32899,13331,32913,32812,13158,32803,32857,13168,32808,33147,13065,33025,33058,13566,32765,32840,13049,32902,32827,13401,33020,32897,13305,32894,32904,13518,32896,33042,13486,32866,32922,13199,32848,32957,13045,32893,32790,13107,32882,32845,12627
33019,32918,13319,32809,32789,13499,32945,32898,13330,32916,32812,13144,32802,32859,13157,32809,33160,13016,33026,33054,13582,32763,32841,13027,32903,32831,13404,33020,32895,13309,32897,32900,13540,32894,33039,13478,32864,32921,13199,32848,32951,13028,32895,32780,13104,32881,32846,12554
33014,32920,13316,32806,32794,13490,32947,32898,13329,32913,32820,13168,32809,32855,13171,32810,33151,13049,33025,33050,13577,32759,32848,13055,32904,32822,13416,33017,32900,13312,32895,32909,13530,32889,33048,13475,32864,32913,13201,32846,32952,13070,32893,32774,13113,32882,32848,12593
33019,32922,13333,32805,32794,13467,32946,32902,13320,32915,32809,13165,32802,32850,13160,32807,33157,13077,33021,33050,13582,32767,32842,13054,32900,32827,13393,33022,32892,13318,32898,32904,13538,32890,33039,13492,32863,32917,13179,32848,32954,13048,32896,32786,13120,32884,32841,12637
33017,32916,13328,32806,32796,13471,32947,32901,13343,32917,32815,13132,32801,32857,13144,32805,33149,13033,33025,33051,13591,32762,32842,13021,32901,32822,13401,33023,32901,13327,32897,32906,13534,32886,33035,13515,32864,32912,13189,32847,32953,13040,32888,32792,13108,32881,32856,13255
33015,32917,13341,32807,32785,13458,32945,32900,13349,32918,32822,13135,32807,32855,13177,32806,33150,13091,33027,33049,13596,32762,32839,13063,32902,32819,13421,33021,32893,13306,32895,32907,13506,32891,33036,13491,32868,32910,13192,32844,32955,13060,32892,32787,13102,32881,32841,13265
33016,32912,13282,32810,32793,13479,32949,32901,13315,32915,32819,13143,32806,32847,13172,32805,33156,13054,33024,33054,13565,32761,32846,13038,32900,32829,13408,33022,32898,13315,32894,32905,13531,32889,33044,13486,32866,32915,13184,32851,32957,13051,32893,32785,13114,32881,32839,13257
33021,32913,13322,32806,32792,13484,32945,32898,13323,32913,32817,13150,32809,32854,13151,32810,33156,12996,33026,33051,13572,32765,32840,13017,32903,32822,13393,33020,32902,13322,32896,32903,13537,32892,33042,13485,32864,32914,13207,32847,32954,13031,32890,32791,13103,32878,32846,13286
33023,32926,13319,32807,32794,13468,32945,32897,13299,32911,32819,13148,32804,32862,13164,32809,33157,13012,33025,33053,13554,32762,32841,13047,32900,32823,13379,33020,32893,13313,32895,32896,13524,32892,33041,13487,32865,32912,13181,32849,32949,13053,32896,32782,13117,32879,32845,13257
33017,32915,13338,32809,32795,13479,32946,32901,13324,32911,32818,13173,32801,32857,13149,32808,33154,13028,33027,33052,13557,32766,32837,13030,32903,32830,13409,33022,32893,13299,32894,32896,13541,32891,33039,13518,32864,32916,13197,32851,32954,13048,32896,32785,13131,32880,32840,13276
33021,32921,13320,32808,32794,13489,32947,32892,13327,32916,32819,13175,32803,32857,13153,32804,33150,13068,33026,33053,13577,32764,32842,13043,32897,32815,13393,33016,32899,13319,32893,32904,13546,32888,33038,13514,32865,32918,13186,32848,32957,13063,32895,32786,13112,32878,32841,13235
33019,32918,13322,32805,32793,13490,32944,32901,13333,32916,32809,13131,32804,32860,13171,32809,33150,13022,33028,33044,13567,32764,32848,13063,32903,32829,13414,33019,32899,13311,32895,32906,13520,32891,33042,13500,32862,32914,13177,32852,32953,13045,32897,32784,13116,32884,32843,13258
33021,32914,13307,32808,32789,13494,32942,32895,13322,32913,32810,13159,32805,32852,13134,32812,33153,13036,33027,33043,13572,32762,32845,13055,32901,32826,13397,33019,32890,13324,32894,32903,13536,32891,33043,13526,32861,32912,13185,32849,32950,13046,32894,32784,13103,32882,32842,13272
33017,32911,13333,32804,32794,13492,32946,32899,13329,32914,32816,13150,32804,32863,13158,32807,33158,13042,33027,33056,13596,32759,32847,13019,32901,32826,13429,33016,32899,13309,32897,32905,13530,32892,33039,13501,32863,32917,13195,32851,32961,13041,32897,32781,13133,32882,32848,13252
