0B0X,0B0Y,0B0Z,0B1X,0B1Y,0B1Z,0B2X,0B2Y,0B2Z,0B3X,0B3Y,0B3Z,0B4X,0B4Y,0B4Z,0B5X,0B5Y,0B5Z,0B6X,0B6Y,0B6Z,0B7X,0B7Y,0B7Z,0B8X,0B8Y,0B8Z,0B9X,0B9Y,0B9Z,0B10X,0B10Y,0B10Z,0B11X,0B11Y,0B11Z,0B12X,0B12Y,0B12Z,0B13X,0B13Y,0B13Z,0B14X,0B14Y,0B14Z,0B15X,0B15Y,0B15Z
10710,25493,56462,14311,50314,1496,11018,45067,61109,20004,50887,8727,10582,12437,46716,16605,7521,2479,9833,59986,65305,21765,18482,17411,16997,64441,47090,25593,9934,63012,19955,64105,54531,27648,18292,7317,22114,9892,55959,24940,54808,63013,25906,64757,47297,33265,2524,4276
10659,26337,55642,14313,50633,580,11045,45539,60166,19998,50914,8287,10343,12588,46246,16518,7672,2574,9727,60043,65354,21663,18732,17570,16852,64227,46315,25559,9952,63039,19864,63997,54492,27607,18305,7464,22064,9805,55062,24809,54582,62740,25860,64483,46590,33175,2242,4343
10530,26809,55179,14317,50981,128,11030,46055,59728,20021,51030,7902,10237,12838,45683,16416,7776,2620,9515,59994,65416,21483,19096,17645,16593,64221,45909,25532,9918,63025,19832,63869,54226,27568,18315,7498,21978,9640,54548,24586,54331,62554,25784,64387,46231,33008,2075,4217
10463,27792,54810,14320,51726,65362,11021,47224,59424,20081,51092,7426,10121,12917,44707,16389,7760,2747,9431,59703,65488,21458,19133,17846,16481,64064,45524,25542,9832,62953,19802,63656,54147,27543,18257,7491,21928,9575,53718,24504,54010,62118,25770,64246,45941,32948,1903,4166
10360,28255,54015,14346,52123,64845,11018,47783,58878,20155,51210,7242,9927,13008,44204,16383,7527,2815,9365,59454,28,21503,19093,17973,16366,63905,44670,25560,9771,62797,19806,63535,53789,27571,18176,7426,21870,9430,53271,24425,53824,61874,25765,64229,45271,32921,1721,3869
10326,29064,53699,14497,52446,64671,11056,48797,58706,20216,51231,6913,9852,13001,43746,16430,7363,3045,9286,58864,177,21559,19113,18251,16316,63665,44287,25625,9681,62749,19913,63358,53634,27635,18071,7495,21849,9354,52477,24408,53499,61690,25768,64142,44939,32916,1610,3795
10258,29495,53144,14550,53071,64661,11082,49313,58583,20422,51283,6854,9680,12970,43143,16497,7186,3237,9283,58616,670,21752,19166,18391,16272,63499,43705,25673,9587,62741,19954,63062,53567,27698,18056,7538,21843,9297,52173,24424,53408,61561,25765,64173,44540,32944,1644,3714
10103,30343,52942,14668,53376,64683,11125,49819,58601,20527,51337,6729,9418,12978,42965,16562,7151,3742,9265,58427,997,21865,19342,18618,16160,63206,43536,25766,9500,62858,20079,62926,53616,27808,18072,7553,21844,9277,51697,24455,53320,61534,25802,64012,44403,33028,1714,3707
10092,30754,52546,14822,53652,64731,11154,50737,58614,20691,51506,6740,9331,12996,42852,16633,6970,3914,9292,58043,1463,22054,19437,18760,16091,63124,43279,25789,9465,62863,20073,62797,53636,27852,18074,7594,21832,9257,51554,24469,53280,61567,25800,64005,44242,33047,1773,3651
9954,31296,52454,14861,54240,64734,11167,51082,58651,20766,51634,6771,9274,13035,42589,16724,6965,4187,9222,57981,1445,22113,19324,18930,15994,63074,43154,25844,9397,62880,20138,62709,53566,27910,18028,7583,21813,9218,51327,24479,53167,61496,25804,64023,44120,33077,1716,3565
